HID;PID;TIME_PERIOD;REF_AREA;INDC_RM_18_1;INDC_RM_18_2;INDC_RM_18_3;INDC_RM_18_4;INDC_RM_18_5;INDC_RM_18_6;INDC_RM_18_7;INDC_RM_18_8;INDC_RM_18_9;INDC_RM_18_10;INDC_RM_18_11;INDC_RM_18_12;INDC_RM_18_13;INDC_RM_18_14;INDC_RM_18_15;INDC_RM_18_16;INDC_RM_18_17;INDC_RM_18_18;INDC_RM_18_19;IND1;IND2;IND4;IND3;IND3_1;IND3_2;IND31;IND32;IND33;IND34;IND35;IND36;IND37;IND38;IND31_E;IND32_E;IND35_E;IND33_E;IND34_E;IND31_H;IND32_H;IND37_H;IND36_H;IND35_H;IND38_H;IND33_H;IND34_H;WGHT2;IND31_imp;IND32_imp;IND33_imp;IND34_imp;IND35_imp;IND36_imp;IND37_imp;IND38_imp;IND31_H_imp;IND32_H_imp;IND33_H_imp;IND34_H_imp;IND35_H_imp;IND36_H_imp;IND37_H_imp;IND38_H_imp;IND31_E_imp;IND32_E_imp;IND33_E_imp;IND34_E_imp;IND35_E_imp
11641;4;2020;AT;21;21;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;21;1;1;1;1;2;-1;-1;-1;-1;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;366,088649122544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11723;3;2020;AT;21;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;22;1;1;1;6;-1;1;-1;-1;-1;1;2;2;-1;2;-1;-1;-1;-1;29;-1;10;-1;-1;-1;-1;435,588598196996;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
14101;2;2020;AT;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;22;1;1;1;3;-1;1;-1;-1;-1;1;2;2;-1;1;-1;-1;-1;-1;6.5;-1;8;-1;-1;-1;-1;199,819268508976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11969;5;2020;AT;22;21;81;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;24;1;1;1;1;-1;-1;-1;1;2;2;2;2;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;26;794,216895130302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11998;3;2020;AT;21;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;21;1;1;1;1;2;-1;-1;-1;-1;2;2;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;469,603563315076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12022;3;2020;AT;21;21;0;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;24;1;1;1;1;-1;-1;-1;1;2;2;2;2;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;24;386,099075993590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12022;4;2020;AT;21;21;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;23;1;1;1;1;-1;2;2;1;2;2;2;2;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;20;386,099075993590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12043;5;2020;AT;21;21;82;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;24;1;1;1;1;-1;-1;-1;1;2;2;2;2;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;-1;-1;25;271,283407410162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12055;4;2020;AT;21;21;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;23;1;1;1;1;-1;2;2;1;2;1;2;2;-1;-1;-1;-1;2;-1;-1;-1;3;-1;-1;-1;23;304,070754466940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12125;3;2020;AT;21;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;21;1;1;1;1;2;-1;-1;-1;-1;1;2;2;-1;-1;-1;-1;-1;-1;-1;-1;5;-1;-1;-1;-1;259,279813928750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12131;3;2020;AT;21;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;21;1;1;1;1;1;-1;-1;-1;-1;2;2;2;1;-1;-1;-1;-1;18.5;-1;-1;-1;-1;-1;-1;-1;538,369901702046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12146;3;2020;AT;21;21;0;81;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;24;1;1;1;1;-1;-1;-1;1;1;1;2;2;-1;-1;2;-1;2;-1;-1;-1;2.5;9;-1;-1;23;141,707369020113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12146;4;2020;AT;21;21;81;0;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;22;1;1;1;1;-1;1;-1;-1;-1;1;2;2;-1;2;-1;-1;-1;-1;28;-1;7.5;-1;-1;-1;-1;141,707369020113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12146;5;2020;AT;21;21;81;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;22;1;1;1;1;-1;1;-1;-1;-1;1;2;2;-1;2;-1;-1;-1;-1;28;-1;7.5;-1;-1;-1;-1;141,707369020113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12154;3;2020;AT;21;21;0;81;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;24;1;1;1;1;-1;-1;-1;1;2;1;2;2;-1;-1;-1;-1;2;-1;-1;-1;5;-1;-1;-1;22;196,958960843687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12154;4;2020;AT;21;21;81;0;81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;22;1;1;1;1;-1;1;-1;-1;-1;1;2;2;-1;1;-1;-1;-1;-1;24;-1;5;-1;-1;-1;-1;196,958960843687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12154;5;2020;AT;21;21;81;81;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;21;1;1;1;1;1;-1;-1;-1;-1;1;2;2;1;-1;-1;-1;-1;15;-1;-1;5;-1;-1;-1;-1;196,958960843687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12235;3;2020;AT;21;21;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;21;1;1;2;1;1;-1;-1;-1;-1;1;2;2;2;-1;-1;-1;-1;20;-1;-1;6;-1;-1;-1;-1;479,955053201632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
