HID;PID;TIME_PERIOD;REF_AREA;DIARY;DDV1;DDV1A;DDV2;DDV3;DDV4;DDV5A;DDV5B;DDV5C;DDV5D;DDV5E;DDV6;DDV7;DDV8A;DDV8B;WGHT1;DATA_COLLECTION_MODE
10367;2;2020;AT;1;6;1;4;3;2022;732;111;910;1;1;1;1;1;-1;1807,0487390025401;1
10367;2;2020;AT;2;1;2;6;3;2022;732;321;353;3;1;1;3;1;-1;843,2894115345190;1
10376;1;2020;AT;1;2;1;17;1;2022;21;111;111;3;2;1;1;1;-1;852,8630961757140;1
10376;1;2020;AT;2;7;2;22;1;2022;21;900;361;5;1;1;3;1;-1;398,0027782153330;1
10376;2;2020;AT;1;2;1;17;1;2022;821;111;111;2;1;1;1;1;-1;852,8630961757140;1
10376;2;2020;AT;2;7;2;22;1;2022;733;361;361;4;1;1;3;1;-1;398,0027782153330;1
10378;1;2020;AT;1;4;1;19;1;2022;613;111;21;3;1;1;1;2;8;730,3701855770080;1
10378;1;2020;AT;2;7;2;22;1;2022;613;321;311;3;1;1;3;2;80;340,8394199359370;1
10378;2;2020;AT;1;4;1;19;1;2022;821;910;111;3;1;1;1;1;-1;730,3701855770080;1
10378;2;2020;AT;2;7;2;22;1;2022;31;31;31;1;1;1;3;2;80;340,8394199359370;1
10424;1;2020;AT;1;4;1;23;2;2022;522;831;31;1;1;1;1;1;-1;1406,2607867218701;2
10424;1;2020;AT;2;1;2;27;2;2022;21;-9;-9;1;1;1;3;1;-1;656,2550338035400;2
10424;2;2020;AT;1;4;1;23;2;2022;522;-9;111;2;1;1;1;1;-1;1406,2607867218701;2
10424;2;2020;AT;2;1;2;27;2;2022;31;-9;-9;1;1;1;-9;1;-1;656,2550338035400;2
10428;1;2020;AT;1;6;1;25;2;2022;344;821;311;2;1;1;1;1;-1;2196,2361671359299;1
10428;1;2020;AT;2;7;2;26;2;2022;344;900;344;3;1;1;3;1;-1;1024,9102113301001;1
10428;3;2020;AT;1;6;1;25;2;2022;121;111;111;2;1;1;1;1;-1;2196,2361671359299;1
10428;3;2020;AT;2;7;2;26;2;2022;341;361;361;3;1;1;3;1;-1;1024,9102113301001;1
10453;1;2020;AT;1;4;1;30;3;2022;819;31;111;2;1;1;1;1;-1;1130,9390489212501;1
10453;1;2020;AT;2;7;2;2;4;2022;910;515;515;4;2;1;1;1;-1;527,7715561632500;1
10453;2;2020;AT;1;4;1;6;4;2022;311;361;351;2;1;2;-1;1;-1;1130,9390489212501;1
10453;2;2020;AT;2;7;2;2;4;2022;512;354;936;2;2;2;-1;1;-1;527,7715561632500;1
10477;1;2020;AT;1;2;1;11;4;2022;341;341;512;1;1;2;-1;1;-1;461,1875929297560;1
10477;1;2020;AT;2;7;2;16;4;2022;11;-9;531;1;2;2;-1;2;40;215,2208767005530;1
10477;2;2020;AT;1;2;1;11;4;2022;361;325;531;1;1;2;-1;2;25;461,1875929297560;1
10477;2;2020;AT;2;7;2;16;4;2022;21;821;361;3;2;2;-1;2;40;215,2208767005530;1
10492;1;2020;AT;1;2;1;21;3;2022;812;514;936;3;1;2;-1;1;-1;990,3963703552760;1
10492;1;2020;AT;2;1;2;27;3;2022;732;324;31;1;1;2;-1;1;-1;462,1849728324620;1
10492;2;2020;AT;1;2;1;21;3;2022;341;331;361;3;1;2;-1;1;-1;990,3963703552760;1
10492;2;2020;AT;2;1;2;27;3;2022;732;324;311;1;1;2;-1;1;-1;462,1849728324620;1
10493;1;2020;AT;1;3;1;12;4;2022;615;331;910;3;1;1;1;1;-1;599,3017883238730;1
10493;1;2020;AT;2;7;2;16;4;2022;615;513;950;2;2;1;6;1;-1;279,6741678844740;1
10493;2;2020;AT;1;3;1;12;4;2022;514;31;910;3;1;1;1;1;-1;599,3017883238730;1
10493;2;2020;AT;2;7;2;16;4;2022;513;940;940;3;2;1;6;1;-1;279,6741678844740;1
10503;1;2020;AT;1;6;1;11;2;2022;619;321;-9;2;1;2;-1;1;-1;986,8480325531850;2
10503;1;2020;AT;2;1;2;13;2;2022;619;-9;-9;2;1;2;-1;1;-1;460,5290818581530;2
10503;2;2020;AT;1;6;1;11;2;2022;731;352;-9;2;2;2;-1;1;-1;986,8480325531850;2
10503;2;2020;AT;2;1;2;13;2;2022;821;-9;-9;2;2;2;-1;1;-1;460,5290818581530;2
10509;1;2020;AT;1;2;1;14;3;2022;121;111;111;4;1;1;1;1;-1;2210,9857252846500;1
10509;1;2020;AT;2;1;2;20;3;2022;21;11;11;2;1;1;3;1;-1;1031,7933384661701;1
10509;2;2020;AT;1;2;1;14;3;2022;21;111;332;1;1;1;1;1;-1;2210,9857252846500;1
10509;2;2020;AT;2;1;2;20;3;2022;21;321;11;1;1;1;3;2;8;1031,7933384661701;1
10515;1;2020;AT;1;5;1;24;3;2022;-9;-9;-9;1;1;2;-1;1;-1;1532,6968378388499;2
10515;1;2020;AT;2;1;2;27;3;2022;-9;-9;-9;2;1;2;-1;2;24;715,2585243247950;2
10515;2;2020;AT;1;5;1;24;3;2022;-9;-9;-9;2;1;2;-1;1;-1;1532,6968378388499;2
10515;2;2020;AT;2;1;2;27;3;2022;-9;-9;-9;1;1;2;-1;2;24;715,2585243247950;2
10524;1;2020;AT;1;4;1;2;3;2022;513;321;111;3;2;1;1;1;-1;748,9679977052290;1
10524;1;2020;AT;2;1;2;6;3;2022;21;331;381;3;1;1;3;1;-1;349,5183989291070;1
10524;2;2020;AT;1;4;1;2;3;2022;513;392;111;4;1;1;1;1;-1;748,9679977052290;1
10524;2;2020;AT;2;1;2;6;3;2022;383;382;382;4;1;1;6;2;10;349,5183989291070;1
10531;1;2020;AT;1;3;1;29;3;2022;733;32;900;3;1;1;4;1;-1;560,8336863134480;1
10531;1;2020;AT;2;7;2;2;4;2022;383;324;311;2;2;1;4;1;-1;261,7223869462760;1
10531;2;2020;AT;1;3;1;29;3;2022;361;331;382;3;1;1;3;1;-1;560,8336863134480;1
10531;2;2020;AT;2;7;2;2;4;2022;821;111;111;4;1;1;1;1;-1;261,7223869462760;1
10538;1;2020;AT;1;5;1;7;4;2022;611;332;-9;2;1;2;-1;1;-1;669,6871359287090;2
10538;1;2020;AT;2;1;2;10;4;2022;611;311;311;2;2;2;-1;1;-1;312,5206634333970;2
10538;2;2020;AT;1;5;1;7;4;2022;611;433;-9;3;1;2;-1;1;-1;669,6871359287090;2
10538;2;2020;AT;2;1;2;10;4;2022;512;511;-9;2;2;2;-1;1;-1;312,5206634333970;2
10555;1;2020;AT;1;4;1;13;4;2022;614;371;361;3;1;1;6;1;-1;1175,0661037946199;1
10555;1;2020;AT;2;1;2;17;4;2022;612;331;514;1;1;1;3;1;-1;548,3641817708220;1
10555;2;2020;AT;1;4;1;27;4;2022;311;111;910;3;1;1;1;1;-1;1175,0661037946199;1
10555;2;2020;AT;2;1;2;17;4;2022;21;321;311;3;2;1;3;1;-1;548,3641817708220;1
10567;1;2020;AT;1;5;1;3;3;2022;821;111;121;2;1;1;1;1;-1;683,7567484427429;1
10567;1;2020;AT;2;1;2;6;3;2022;21;321;732;2;1;1;3;1;-1;319,0864826066130;1
10567;2;2020;AT;1;5;1;3;3;2022;111;11;821;1;1;1;1;1;-1;683,7567484427429;1
10567;2;2020;AT;2;1;2;6;3;2022;11;321;321;2;1;1;-9;1;-1;319,0864826066130;1
10571;1;2020;AT;1;2;2;18;4;2022;21;11;31;4;2;1;6;1;-1;323,5385493168710;1
10571;1;2020;AT;2;7;2;23;4;2022;21;342;341;3;1;1;3;1;-1;323,5385493168710;1
10571;2;2020;AT;1;2;2;18;4;2022;11;821;821;3;2;1;6;1;-1;323,5385493168710;1
10571;2;2020;AT;2;7;2;23;4;2022;519;351;519;1;1;1;5;1;-1;323,5385493168710;1
